Results Log
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 323

PR_AUC: 0.9067
ROC_AUC: 0.9950
F1: 0.8634
PRECISION: 0.8586
RECALL: 0.8682
ACCURACY: 0.9865
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-12 00:59:58.083844
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 321

PR_AUC: 0.5123
ROC_AUC: 0.7777
F1: 0.5604
PRECISION: 0.7411
RECALL: 0.4505
ACCURACY: 0.9654
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 01:05:16.537701
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 320

PR_AUC: 0.8950
ROC_AUC: 0.9942
F1: 0.8503
PRECISION: 0.8042
RECALL: 0.9021
ACCURACY: 0.9844
THRESHOLD: 0.9394
---------------------------------------------
Timestamp: 2025-05-12 01:06:05.293808
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 324

PR_AUC: 0.4952
ROC_AUC: 0.7822
F1: 0.5496
PRECISION: 0.6914
RECALL: 0.4561
ACCURACY: 0.9634
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 01:06:14.959485
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 326

PR_AUC: 0.9054
ROC_AUC: 0.9946
F1: 0.8620
PRECISION: 0.8538
RECALL: 0.8704
ACCURACY: 0.9864
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 01:10:02.884550
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 327

PR_AUC: 0.5129
ROC_AUC: 0.7815
F1: 0.5647
PRECISION: 0.7285
RECALL: 0.4611
ACCURACY: 0.9652
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 01:15:39.858854
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 325

PR_AUC: 0.7684
ROC_AUC: 0.9183
F1: 0.7632
PRECISION: 0.8315
RECALL: 0.7052
ACCURACY: 0.9786
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 01:19:24.611679
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 328

PR_AUC: 0.7725
ROC_AUC: 0.9199
F1: 0.7640
PRECISION: 0.8228
RECALL: 0.7130
ACCURACY: 0.9784
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 01:37:52.295228
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9098
ROC_AUC: 0.9952
F1: 0.8605
PRECISION: 0.8739
RECALL: 0.8476
ACCURACY: 0.9865
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 01:41:13.868284
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.8047
ROC_AUC: 0.9871
F1: 0.6910
PRECISION: 0.5511
RECALL: 0.9260
ACCURACY: 0.9594
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-12 01:41:44.125082
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.8052
ROC_AUC: 0.9873
F1: 0.6928
PRECISION: 0.5529
RECALL: 0.9277
ACCURACY: 0.9597
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-12 01:52:35.989585
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9066
ROC_AUC: 0.9954
F1: 0.8676
PRECISION: 0.8589
RECALL: 0.8765
ACCURACY: 0.9869
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 01:55:10.701996
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9057
ROC_AUC: 0.9952
F1: 0.8656
PRECISION: 0.8732
RECALL: 0.8582
ACCURACY: 0.9870
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 02:08:42.774391
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.8665
ROC_AUC: 0.9925
F1: 0.8208
PRECISION: 0.7760
RECALL: 0.8710
ACCURACY: 0.9814
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-12 02:10:22.793860
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9108
ROC_AUC: 0.9955
F1: 0.8309
PRECISION: 0.7312
RECALL: 0.9622
ACCURACY: 0.9808
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:10:32.366059
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.8664
ROC_AUC: 0.9924
F1: 0.8229
PRECISION: 0.7799
RECALL: 0.8710
ACCURACY: 0.9816
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-12 02:12:10.301418
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9099
ROC_AUC: 0.9955
F1: 0.8309
PRECISION: 0.7321
RECALL: 0.9605
ACCURACY: 0.9809
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:12:13.894061
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9102
ROC_AUC: 0.9955
F1: 0.8349
PRECISION: 0.7367
RECALL: 0.9633
ACCURACY: 0.9813
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:16:16.054136
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9107
ROC_AUC: 0.9955
F1: 0.8320
PRECISION: 0.7325
RECALL: 0.9627
ACCURACY: 0.9810
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:16:35.941271
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9100
ROC_AUC: 0.9955
F1: 0.8328
PRECISION: 0.7331
RECALL: 0.9638
ACCURACY: 0.9810
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:25:42.406676
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9103
ROC_AUC: 0.9955
F1: 0.8344
PRECISION: 0.7363
RECALL: 0.9627
ACCURACY: 0.9813
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:26:09.422416
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9098
ROC_AUC: 0.9955
F1: 0.8308
PRECISION: 0.7316
RECALL: 0.9611
ACCURACY: 0.9808
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:27:57.534105
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9099
ROC_AUC: 0.9955
F1: 0.8329
PRECISION: 0.7336
RECALL: 0.9633
ACCURACY: 0.9811
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:32:07.826043
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9102
ROC_AUC: 0.9955
F1: 0.8341
PRECISION: 0.7364
RECALL: 0.9616
ACCURACY: 0.9813
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:41:10.966318
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9043
ROC_AUC: 0.9951
F1: 0.8527
PRECISION: 0.8052
RECALL: 0.9060
ACCURACY: 0.9847
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 02:48:24.263431
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.8971
ROC_AUC: 0.9944
F1: 0.8567
PRECISION: 0.8428
RECALL: 0.8710
ACCURACY: 0.9857
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 02:51:32.025900
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.8988
ROC_AUC: 0.9950
F1: 0.8532
PRECISION: 0.8544
RECALL: 0.8521
ACCURACY: 0.9856
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 02:56:05.269046
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9105
ROC_AUC: 0.9954
F1: 0.8620
PRECISION: 0.8175
RECALL: 0.9116
ACCURACY: 0.9857
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 02:56:56.761047
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9045
ROC_AUC: 0.9953
F1: 0.8661
PRECISION: 0.8160
RECALL: 0.9227
ACCURACY: 0.9860
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 03:00:40.004956
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9112
ROC_AUC: 0.9956
F1: 0.8405
PRECISION: 0.7465
RECALL: 0.9616
ACCURACY: 0.9821
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 03:01:34.536744
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9111
ROC_AUC: 0.9956
F1: 0.8385
PRECISION: 0.7433
RECALL: 0.9616
ACCURACY: 0.9819
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-12 03:12:17.925477
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9075
ROC_AUC: 0.9950
F1: 0.8585
PRECISION: 0.8011
RECALL: 0.9249
ACCURACY: 0.9851
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 03:20:25.320511
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 0

PR_AUC: 0.9091
ROC_AUC: 0.9954
F1: 0.8659
PRECISION: 0.8241
RECALL: 0.9121
ACCURACY: 0.9862
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 03:23:32.456591
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
