Results Log
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 9

PR_AUC: 0.4334
ROC_AUC: 0.7755
F1: 0.5104
PRECISION: 0.5593
RECALL: 0.4694
ACCURACY: 0.9559
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 17:51:14.935056
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 10

PR_AUC: 0.7655
ROC_AUC: 0.9162
F1: 0.7558
PRECISION: 0.8494
RECALL: 0.6808
ACCURACY: 0.9785
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 17:51:56.251233
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 11

PR_AUC: 0.8984
ROC_AUC: 0.9943
F1: 0.8567
PRECISION: 0.8603
RECALL: 0.8532
ACCURACY: 0.9860
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 17:52:37.450932
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 12

PR_AUC: 0.4588
ROC_AUC: 0.7790
F1: 0.5216
PRECISION: 0.5893
RECALL: 0.4677
ACCURACY: 0.9580
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 18:10:27.078164
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 13

PR_AUC: 0.7650
ROC_AUC: 0.9190
F1: 0.7532
PRECISION: 0.8445
RECALL: 0.6796
ACCURACY: 0.9782
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 18:20:10.030198
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 15

PR_AUC: 0.5191
ROC_AUC: 0.7800
F1: 0.5632
PRECISION: 0.7139
RECALL: 0.4650
ACCURACY: 0.9647
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 18:20:27.508153
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 14

PR_AUC: 0.9030
ROC_AUC: 0.9950
F1: 0.8610
PRECISION: 0.8749
RECALL: 0.8476
ACCURACY: 0.9866
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 18:24:10.596294
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 16

PR_AUC: 0.7554
ROC_AUC: 0.9165
F1: 0.7540
PRECISION: 0.8115
RECALL: 0.7041
ACCURACY: 0.9775
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 18:35:16.275048
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 18

PR_AUC: 0.5202
ROC_AUC: 0.7794
F1: 0.5639
PRECISION: 0.7398
RECALL: 0.4555
ACCURACY: 0.9655
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 18:35:49.959951
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 17

PR_AUC: 0.9051
ROC_AUC: 0.9947
F1: 0.8641
PRECISION: 0.8464
RECALL: 0.8826
ACCURACY: 0.9864
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-08 18:50:05.464119
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 21

PR_AUC: 0.5321
ROC_AUC: 0.7766
F1: 0.5740
PRECISION: 0.7994
RECALL: 0.4477
ACCURACY: 0.9675
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 18:50:24.317026
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 20

PR_AUC: 0.8971
ROC_AUC: 0.9944
F1: 0.8537
PRECISION: 0.8139
RECALL: 0.8977
ACCURACY: 0.9849
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-08 18:50:52.189466
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 19

PR_AUC: 0.7679
ROC_AUC: 0.9182
F1: 0.7598
PRECISION: 0.8724
RECALL: 0.6730
ACCURACY: 0.9792
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 18:53:36.083531
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 22

PR_AUC: 0.7708
ROC_AUC: 0.9209
F1: 0.7609
PRECISION: 0.8129
RECALL: 0.7152
ACCURACY: 0.9780
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 19:01:52.617995
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 25

PR_AUC: 0.7573
ROC_AUC: 0.9155
F1: 0.7478
PRECISION: 0.8230
RECALL: 0.6852
ACCURACY: 0.9774
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 19:02:55.119142
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 24

PR_AUC: 0.4680
ROC_AUC: 0.7731
F1: 0.5108
PRECISION: 0.5668
RECALL: 0.4650
ACCURACY: 0.9564
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 19:20:08.544736
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 23

PR_AUC: 0.9055
ROC_AUC: 0.9953
F1: 0.8622
PRECISION: 0.8386
RECALL: 0.8871
ACCURACY: 0.9861
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 19:25:42.765174
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 28

PR_AUC: 0.7727
ROC_AUC: 0.9174
F1: 0.7685
PRECISION: 0.8523
RECALL: 0.6997
ACCURACY: 0.9794
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 19:26:21.640929
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 27

PR_AUC: 0.3837
ROC_AUC: 0.7702
F1: 0.4568
PRECISION: 0.4386
RECALL: 0.4766
ACCURACY: 0.9445
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 19:29:39.619000
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 30

PR_AUC: 0.4915
ROC_AUC: 0.7807
F1: 0.5443
PRECISION: 0.7122
RECALL: 0.4405
ACCURACY: 0.9639
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 19:31:36.621476
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 32

PR_AUC: 0.9011
ROC_AUC: 0.9948
F1: 0.8626
PRECISION: 0.8306
RECALL: 0.8971
ACCURACY: 0.9860
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-08 19:31:44.210050
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 31

PR_AUC: 0.7711
ROC_AUC: 0.9164
F1: 0.7585
PRECISION: 0.8755
RECALL: 0.6691
ACCURACY: 0.9791
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 19:37:01.665673
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 29

PR_AUC: 0.8942
ROC_AUC: 0.9943
F1: 0.8534
PRECISION: 0.8138
RECALL: 0.8971
ACCURACY: 0.9849
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 19:58:55.666776
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 37

PR_AUC: 0.7632
ROC_AUC: 0.9178
F1: 0.7590
PRECISION: 0.8498
RECALL: 0.6858
ACCURACY: 0.9787
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 19:59:47.405132
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 38

PR_AUC: 0.8986
ROC_AUC: 0.9944
F1: 0.8516
PRECISION: 0.8415
RECALL: 0.8621
ACCURACY: 0.9853
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 20:01:00.565944
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 34

PR_AUC: 0.7210
ROC_AUC: 0.9130
F1: 0.7222
PRECISION: 0.7771
RECALL: 0.6746
ACCURACY: 0.9746
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 20:01:26.696113
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 35

PR_AUC: 0.9074
ROC_AUC: 0.9946
F1: 0.8604
PRECISION: 0.8285
RECALL: 0.8949
ACCURACY: 0.9858
THRESHOLD: 0.9394
---------------------------------------------
Timestamp: 2025-05-08 20:02:50.125501
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 36

PR_AUC: 0.3941
ROC_AUC: 0.7720
F1: 0.4618
PRECISION: 0.4683
RECALL: 0.4555
ACCURACY: 0.9480
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 20:05:09.316496
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 33

PR_AUC: 0.3486
ROC_AUC: 0.7711
F1: 0.4344
PRECISION: 0.4487
RECALL: 0.4210
ACCURACY: 0.9463
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 20:16:10.417092
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 39

PR_AUC: 0.4983
ROC_AUC: 0.7808
F1: 0.5522
PRECISION: 0.6871
RECALL: 0.4616
ACCURACY: 0.9633
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 20:27:34.716084
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 40

PR_AUC: 0.7713
ROC_AUC: 0.9166
F1: 0.7671
PRECISION: 0.8184
RECALL: 0.7219
ACCURACY: 0.9785
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 20:28:13.015466
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 41

PR_AUC: 0.9033
ROC_AUC: 0.9945
F1: 0.8599
PRECISION: 0.8168
RECALL: 0.9077
ACCURACY: 0.9855
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-08 20:34:00.993086
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 42

PR_AUC: 0.4919
ROC_AUC: 0.7752
F1: 0.5427
PRECISION: 0.7039
RECALL: 0.4416
ACCURACY: 0.9636
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 20:35:22.540473
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
